  7  11  +0.45734270 +0.157687321380 +0.04397633 +0.00000241 +0.45734222 -0.00000185 -0.00064517 -0.00000096 -0.00016433
  0  12  +0.18027157 +0.176530165519 +0.00764913 +0.00000396 -0.18026149 +0.00000143 -0.00165348 +0.00000517 -0.00094875
  1  12  +0.26122839 +0.176526172088 +0.01606159 +0.00000004 -0.00153877 -0.00000249 +0.16990385 +0.00000068 -0.19842022
  2  12  +0.05111505 +0.175422444971 +0.00061111 -0.00000000 -0.00051048 +0.00000014 -0.04750778 +0.00000036 -0.01885468
  3  12  +0.37537194 +0.174671101147 +0.03281583 +0.00000569 +0.37536832 +0.00000177 -0.00164348 +0.00000293 +0.00010434
  4  12  +0.40333840 +0.174653377434 +0.03788392 -0.00000002 -0.00137375 -0.00000480 -0.40316310 +0.00000027 +0.01181060
  5  12  +0.09194313 +0.171727067629 +0.00193560 -0.00000359 +0.09192776 -0.00000412 -0.00168088 +0.00000032 -0.00004174
  6  12  +0.12063891 +0.170503881909 +0.00330863 -0.00000003 -0.00014156 +0.00001060 +0.03358390 +0.00000090 -0.11586996
  7  12  +0.02548590 +0.170483626658 +0.00014765 -0.00000643 -0.02539407 +0.00000018 -0.00034307 +0.00001121 -0.00213409
  0  13  +0.26384621 +0.176976421994 +0.01642691 -0.00000007 -0.00256091 -0.00000230 +0.17699631 -0.00000015 +0.19565420
  1  13  +0.17742955 +0.176972428563 +0.00742842 -0.00000174 +0.17742561 -0.00000002 -0.00113254 -0.00000005 +0.00033897
  2  13  +0.05157785 +0.175868701447 +0.00062381 -0.00000139 +0.05140157 +0.00000001 +0.00022695 +0.00000002 -0.00425463
  3  13  +0.39262781 +0.175117357622 +0.03599399 -0.00000003 -0.00320705 -0.00000450 -0.39251217 -0.00000113 -0.00897248
  4  13  +0.39105475 +0.175099633909 +0.03570254 -0.00000480 -0.39104658 -0.00000005 -0.00252316 -0.00000004 -0.00015293
  5  13  +0.10044397 +0.172173324105 +0.00231607 +0.00000004 +0.00079026 -0.00000575 +0.10043650 -0.00000120 -0.00093593
  6  13  +0.02895551 +0.170950138385 +0.00019110 +0.00001140 +0.02892004 -0.00000000 +0.00111176 -0.00000005 -0.00090366
  7  13  +0.12386481 +0.170929883133 +0.00349665 -0.00000003 +0.00112184 +0.00001106 +0.03106692 -0.00000097 +0.11990029
  0  14  +0.13371873 +0.188381502935 +0.00449119 -0.00000300 +0.07073568 -0.00000109 -0.01447601 +0.00000209 -0.11255047
  1  14  +0.41953291 +0.188377509504 +0.04420790 +0.00000041 -0.01108440 +0.00000331 -0.00888896 -0.00000021 +0.41929224
  2  14  +0.57814667 +0.187273782388 +0.08346257 -0.00000019 -0.14167119 +0.00000030 +0.55993012 +0.00000113 +0.02571184
  3  14  +0.14422047 +0.186522438563 +0.00517278 -0.00000140 -0.10330928 -0.00000345 +0.02416552 -0.00000204 +0.09768706
  4  14  +0.41600748 +0.186504714850 +0.04303589 -0.00000039 +0.02493747 +0.00000109 +0.09428065 -0.00000005 -0.40441501
  5  14  +0.29482386 +0.183578405045 +0.02127578 +0.00000408 +0.28845365 +0.00000249 +0.06095561 -0.00000896 -0.00010635
  6  14  +0.07095111 +0.182355219326 +0.00122398 -0.00000153 +0.00137954 -0.00000278 +0.00813603 -0.00000072 -0.07046958
  7  14  +0.00443204 +0.182334964074 +0.00000478 +0.00000178 +0.00049066 -0.00001029 +0.00121421 -0.00000040 +0.00423413
  0  15  +0.42189390 +0.188418624458 +0.04471663 +0.00000081 -0.01574738 +0.00000272 -0.04457869 +0.00000228 -0.41923648
  1  15  +0.11767127 +0.188414631027 +0.00347852 +0.00000160 -0.04229417 -0.00000095 -0.00272569 +0.00000007 -0.10977386
  2  15  +0.57545612 +0.187310903910 +0.08270394 -0.00000084 -0.55779176 -0.00000006 -0.14124120 -0.00000033 -0.00830810
  3  15  +0.41615636 +0.186559560086 +0.04307937 +0.00000033 +0.02603566 +0.00000145 +0.11186334 +0.00000056 +0.39999356
  4  15  +0.14952923 +0.186541836373 +0.00556118 -0.00000123 +0.10782145 -0.00000025 -0.02317834 +0.00000002 +0.10097669
  5  15  +0.28776962 +0.183615526568 +0.02027393 -0.00000111 -0.07201401 +0.00000411 +0.27861323 +0.00000514 -0.00002494
  6  15  +0.01802450 +0.182392340849 +0.00007901 -0.00000616 +0.00715888 +0.00000069 -0.00066347 +0.00000021 +0.01652855
  7  15  +0.06068253 +0.182372085597 +0.00089542 -0.00000045 -0.00139919 -0.00000022 +0.00778068 -0.00000018 +0.06016538
