#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
20  0.185497777813  0.185497777813  0.031504985389  -0.000129410888   0.216873352314  -0.853773307987
21  0.212702344173  0.212702344173  0.031389553759  -0.030505671663   0.213586226269  -0.024051669284
22  0.212711715677  0.212711715677  0.031390659305  -0.030529237031   0.213573137951  -0.023440506053
23  0.212715353524  0.212715353524  0.031391096027  -0.030538434651   0.213568014899  -0.023202109757
24  0.217628573230  0.217628573230  0.026918644141  -0.000075519497   0.244471697874  -0.730439001929
25  0.218918201635  0.218918201635  0.026155504456  -0.000663025192   0.244410680899  -0.693686050231
26  0.218918229643  0.218918229643  0.026155426940  -0.000662996871   0.244410659712  -0.693684711578
27  0.218918254174  0.218918254174  0.026155358956  -0.000662971396   0.244410641733  -0.693683554847
28  0.219103559583  0.219103559583  0.025498640438  -0.000197394637   0.244404805383  -0.688482319971
29  0.219103603466  0.219103603466  0.025498565424  -0.000197396217   0.244404772674  -0.688480235763
30  0.219773284144  0.219773284144  0.026295096291  -0.001616990852   0.244451389584  -0.671525798367
31  0.219773287515  0.219773287515  0.026295099696  -0.001617000015   0.244451387196  -0.671525641655
32  0.219773290478  0.219773290478  0.026295102713  -0.001617008031   0.244451385160  -0.671525505630
33  0.220803349972  0.220803349972  0.023662392612  -0.000000192419   0.244465550165  -0.643881594343
34  0.221087492026  0.221087492026  0.024995675119  -0.001802831937   0.244280335209  -0.631109732989
35  0.221088791337  0.221088791337  0.024997078346  -0.001808915241   0.244276954441  -0.630982381508
36  0.221089297420  0.221089297420  0.024997626580  -0.001811295848   0.244275628152  -0.630932520081
37  0.222613480165  0.222613480165  0.025870198098  -0.000400910955   0.248082767308  -0.693054960152
38  0.222811052794  0.222811052794  0.025892728384  -0.000615694234   0.248088086944  -0.687823487077
39  0.223223165042  0.223223165042  0.025673916849  -0.000819735506   0.248077346385  -0.676317070212
40  0.223712576416  0.223712576416  0.025976750784  -0.001608278996   0.248081048204  -0.663100233226
41  0.223820656283  0.223820656283  0.026029829455  -0.001767391283   0.248083094456  -0.660214910082
42  0.224401149814  0.224401149814  0.024636112333  -0.005582558487   0.243454703661  -0.518473875128
43  0.224401282625  0.224401282625  0.024636125372  -0.005581477493   0.243455930503  -0.518503645282
44  0.224401334306  0.224401334306  0.024636130572  -0.005581057409   0.243456407469  -0.518515217861
