  4  10  +0.00012301 +0.244471697874 +0.00000000 -0.00002332 -0.00006334 -0.00005747 -0.00003587 -0.00004856 -0.00006023
  5  10  +0.00013178 +0.244471697874 +0.00000001 -0.00001019 +0.00007112 -0.00004290 -0.00002730 -0.00009532 +0.00002307
  6  10  +0.00061740 +0.216855313548 +0.00000011 +0.00019390 -0.00006637 +0.00015258 +0.00042096 -0.00021818 -0.00030181
  7  10  +0.00071054 +0.216855313548 +0.00000015 +0.00039741 +0.00039527 -0.00013694 -0.00003701 -0.00023803 -0.00033751
  0  11  +0.03371044 +0.248089549133 +0.00037590 +0.00242379 +0.02318362 +0.00166267 -0.00245560 -0.02138362 +0.01126877
  1  11  +0.07179497 +0.248089549133 +0.00170504 -0.01372432 -0.00683860 +0.05810499 +0.02753321 -0.02316213 -0.01576840
  2  11  +0.00019831 +0.244471697874 +0.00000001 +0.00003347 -0.00009796 +0.00011786 -0.00009025 +0.00006766 +0.00004468
  3  11  +0.00010580 +0.244471697874 +0.00000000 -0.00004904 +0.00004276 +0.00005085 -0.00001986 -0.00006028 +0.00001864
  4  11  +0.00010975 +0.244471697874 +0.00000000 -0.00001825 -0.00001110 -0.00002861 -0.00006195 -0.00008320 +0.00000332
  5  11  +0.00013484 +0.244471697874 +0.00000001 +0.00006521 -0.00011399 -0.00001906 -0.00001631 -0.00000207 +0.00001734
  6  11  +0.00065291 +0.216855313548 +0.00000012 +0.00030541 +0.00018909 -0.00043192 -0.00003155 +0.00013525 -0.00030235
  7  11  +0.00059284 +0.216855313548 +0.00000010 -0.00003354 +0.00021288 +0.00035290 -0.00018516 -0.00038232 -0.00000509
  0  12  +0.08839437 +0.248089549133 +0.00258462 +0.01704850 +0.05176868 +0.04528987 -0.04144732 +0.03142874 +0.00927889
  1  12  +0.09044819 +0.248089549133 +0.00270612 -0.04106512 -0.01565468 -0.03683850 -0.01054705 +0.06663758 +0.01845483
  2  12  +0.00012702 +0.244471697874 +0.00000001 +0.00005904 -0.00005995 +0.00003045 -0.00003722 +0.00005795 +0.00005817
  3  12  +0.00014494 +0.244471697874 +0.00000001 +0.00005918 +0.00006065 +0.00001778 +0.00001973 +0.00005853 -0.00009848
  4  12  +0.00019553 +0.244471697874 +0.00000001 -0.00008530 +0.00008052 +0.00015024 +0.00003796 -0.00000266 +0.00002123
  5  12  +0.00012219 +0.244471697874 +0.00000000 -0.00003021 +0.00005730 -0.00006914 +0.00006551 -0.00002132 -0.00003475
  6  12  +0.00066256 +0.216855313548 +0.00000013 +0.00032309 -0.00002622 +0.00017786 +0.00009012 -0.00053747 -0.00007270
  7  12  +0.00036490 +0.216855313548 +0.00000004 -0.00026778 +0.00005086 +0.00006739 -0.00002686 +0.00012666 -0.00019378
